status	source_path	repository_path	role	discovery	size_bytes	sha256	note
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/from_chad/mageck/230523_Pipeline.ipynb	genome_wide/notebooks/230523_Pipeline.ipynb	core genome-wide U-test/pipeline notebook	exact	78184	6076efdd13e455add1b8bff1a0b53073c5ac77c5fa182b9c66c23593dca25101	copied with notebook outputs/execution counts removed
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/generatePlots.R	genome_wide/plotting/generatePlots.R	genome-wide volcano plotting	exact	3715	ed875fb503afd71dd3e079357bf2e1677a5a6dafb83246ec70c390909a99e871	copied unchanged
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/mageckflute/230920_MAGECK_Flute.R	genome_wide/plotting/230920_MAGECK_Flute.R	genome-wide rank and MAGeCKFlute plots	exact	6142	71e7c9e66be50fae8e7b3ce828183a724a8c09715c8ade1d56774916b3751fbd	copied unchanged
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/231023_Validation_Screen_Files/generatePlots.R	validation/plotting/generatePlots.R	validation volcano and correlation plots	exact	16512	e3edf3cae25a4f774d862199b70eb88e1496de58af3b5c59e70434a34e2eef46	copied unchanged
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/full_result_files_from_Chad/Mageck_output_README.xlsx	docs/source/Mageck_output_README.xlsx	MAGeCK output column documentation	exact	9687	8ea9432f2ad943e43a3364f5ded2360c35738756d0e46eddfad8a6d843f00146	copied unchanged
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/from_chad/mageck/._230523_Pipeline.ipynb	genome_wide/discovered/mageck/._230523_Pipeline.ipynb	genome-wide MAGeCK/U-test analysis directory	recursive_allowlist	4096	360b74202d72b965bfca3e7ac894151825ef30ba4a8e07c5be9bfa7d8fabba3e	copied with notebook outputs/execution counts removed
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/from_chad/mageck/._230608_MAGECK_Flute.R	genome_wide/discovered/mageck/._230608_MAGECK_Flute.R	genome-wide MAGeCK/U-test analysis directory	recursive_allowlist	4096	8893cfc8c8bada9f0cca0d70e4f5a51f2029316b66a4092924f15578180b1afa	copied unchanged
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/from_chad/mageck/230523_Pipeline.ipynb	genome_wide/discovered/mageck/230523_Pipeline.ipynb	genome-wide MAGeCK/U-test analysis directory	recursive_allowlist	78184	6076efdd13e455add1b8bff1a0b53073c5ac77c5fa182b9c66c23593dca25101	copied with notebook outputs/execution counts removed
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/from_chad/mageck/230608_MAGECK_Flute.R	genome_wide/discovered/mageck/230608_MAGECK_Flute.R	genome-wide MAGeCK/U-test analysis directory	recursive_allowlist	2132	69781fab1d8cf8ce9f655e6858b372f07fed916f819f101f170995e68eef3fd2	copied unchanged
COPIED	/oak/stanford/groups/engreitz/Users/dulguun/230916_Genome-wide_Screen_Analysis/full_result_files_from_Chad/Files_used_for_mageck/._combined_mageck_commands.sh	genome_wide/discovered/files_used_for_mageck/._combined_mageck_commands.sh	code/configuration adjacent to genome-wide MAGeCK inputs	recursive_allowlist	4096	4a88d804aaa6679f8fa7241380b8651a20bdfc1d30f437f78e5b56245658471e	copied unchanged
